iter	Passed	Remaining
677	768	364
678	769	363
679	769	362
680	771	361
681	772	360
682	773	358
683	773	357
684	774	356
685	775	355
686	776	353
687	777	352
688	778	351
689	779	349
690	779	348
691	780	347
692	781	346
693	782	345
694	783	343
695	784	342
696	786	341
697	787	340
698	788	339
699	789	338
700	790	337
701	791	336
702	792	334
703	793	333
704	794	332
705	795	331
706	796	330
707	797	328
708	798	327
709	798	326
710	799	325
711	800	323
712	802	322
713	803	321
714	804	320
715	804	319
716	805	318
717	806	316
718	807	315
719	808	314
720	809	313
721	810	312
722	811	310
723	812	309
724	813	308
725	814	307
726	815	306
727	816	305
728	817	303
729	818	302
730	819	301
731	820	300
732	820	299
733	821	297
734	822	296
735	823	295
736	824	294
737	825	293
738	826	291
739	827	290
740	827	289
741	828	288
742	829	287
743	830	285
744	831	284
745	832	283
746	833	282
747	834	281
748	835	279
749	836	278
750	837	277
751	838	276
752	839	275
753	839	274
754	840	272
755	841	271
756	842	270
757	843	269
758	844	268
759	845	267
760	846	265
761	847	264
762	848	263
763	849	262
764	850	261
765	851	260
766	852	258
767	852	257
768	853	256
769	854	255
770	855	254
771	856	252
772	857	251
773	858	250
774	859	249
775	860	248
776	861	247
777	862	246
778	863	245
779	864	243
780	865	242
781	867	241
782	868	240
783	869	239
784	870	238
785	871	237
786	872	236
787	873	234
788	874	233
789	875	232
790	876	231
791	877	230
792	878	229
793	879	228
794	880	227
795	881	225
796	883	224
797	884	223
798	885	222
799	885	221
800	886	220
801	888	219
802	889	218
803	890	217
804	891	215
805	892	214
806	893	213
807	894	212
808	895	211
809	896	210
810	896	209
811	897	207
812	898	206
813	899	205
814	900	204
815	902	203
816	903	202
817	904	201
818	905	200
819	906	199
820	907	197
821	908	196
822	909	195
823	910	194
824	911	193
825	913	192
826	914	191
827	914	190
828	915	188
829	917	187
830	918	186
831	920	185
832	920	184
833	921	183
834	922	182
835	923	181
836	924	180
837	925	178
838	926	177
839	927	176
840	928	175
841	929	174
842	931	173
843	932	172
844	944	173
845	945	172
846	946	171
847	948	169
848	949	168
849	950	167
850	951	166
851	952	165
852	952	164
853	953	163
854	954	161
855	955	160
856	956	159
857	957	158
858	958	157
859	959	156
860	960	155
861	961	154
862	963	153
863	964	151
864	965	150
865	966	149
866	967	148
867	968	147
868	969	146
869	970	144
870	971	143
871	971	142
872	972	141
873	973	140
874	974	139
875	975	138
876	976	136
877	977	135
878	978	134
879	979	133
880	980	132
881	981	131
882	982	130
883	983	129
884	984	127
885	984	126
886	985	125
887	989	124
888	994	124
889	995	123
890	997	121
891	998	120
892	999	119
893	1000	118
894	1001	117
895	1002	116
896	1005	115
897	1009	114
898	1010	113
899	1011	112
900	1013	111
901	1014	110
902	1017	109
903	1019	108
904	1020	107
905	1022	106
906	1025	105
907	1026	103
908	1027	102
909	1028	101
910	1029	100
911	1030	99
912	1031	98
913	1032	97
914	1033	96
915	1034	94
916	1035	93
917	1036	92
918	1037	91
919	1039	90
920	1040	89
921	1041	88
922	1042	86
923	1043	85
924	1044	84
925	1045	83
926	1046	82
927	1047	81
928	1048	80
929	1049	79
930	1050	77
931	1054	76
932	1056	75
933	1057	74
934	1058	73
935	1059	72
936	1060	71
937	1061	70
938	1062	69
939	1063	67
940	1064	66
941	1066	65
942	1070	64
943	1071	63
944	1072	62
945	1073	61
946	1074	60
947	1075	58
948	1076	57
949	1077	56
950	1079	55
951	1080	54
952	1081	53
953	1082	52
954	1084	51
955	1085	49
956	1086	48
957	1087	47
958	1089	46
959	1090	45
960	1091	44
961	1092	43
962	1094	42
963	1095	40
964	1096	39
965	1097	38
966	1098	37
967	1099	36
968	1100	35
969	1101	34
970	1102	32
971	1103	31
972	1104	30
973	1104	29
974	1105	28
975	1106	27
976	1107	26
977	1108	24
978	1109	23
979	1110	22
980	1111	21
981	1112	20
982	1113	19
983	1114	18
984	1115	16
985	1116	15
986	1117	14
987	1118	13
988	1119	12
989	1120	11
990	1121	10
991	1122	9
992	1122	7
993	1123	6
994	1124	5
995	1125	4
996	1126	3
997	1127	2
998	1128	1
999	1129	0
